,Type,Number of Fatalities,Date,Month,Day,Hour,Time
0,Motorcycle,2,01/01/2013,Jan,Tue,18,18:50:00
1,Motor Vehicle,1,01/03/2013,Jan,Thu,4,04:10:00
2,Motor Vehicle,1,01/08/2013,Jan,Tue,7,07:30:00
3,Motor Vehicle,1,01/15/2013,Jan,Tue,11,11:31:00
4,Motor Vehicle,1,01/18/2013,Jan,Fri,15,15:28:00
5,Motorcycle,1,01/19/2013,Jan,Sat,17,17:08:00
6,Motor Vehicle,1,01/10/2013,Jan,Thu,4,04:03:00
7,Motor Vehicle,1,01/30/2013,Jan,Wed,0,00:28:00
8,Pedestrian,1,02/02/2013,Feb,Sat,20,20:52:00
9,Pedestrian,1,02/06/2013,Feb,Wed,20,20:10:10
10,Motor Vehicle,1,02/12/2013,Feb,Tue,10,10:58:00
11,Pedestrian,1,02/17/2013,Feb,Sun,23,23:12:00
12,Motor Vehicle,1,02/19/2013,Feb,Tue,14,14:57:00
13,Motor Vehicle,1,02/21/2013,Feb,Thu,23,23:37:00
14,Pedestrian,1,02/22/2013,Feb,Fri,3,03:50:00
15,Motor Vehicle,1,03/04/2013,Mar,Mon,7,07:29:00
16,Pedestrian,1,03/08/2013,Mar,Fri,2,02:20:00
17,Motorcycle,1,03/13/2013,Mar,Wed,7,07:45:00
18,Pedestrian,1,03/13/2013,Mar,Wed,14,14:30:00
19,Motorcycle,1,03/17/2013,Mar,Sun,14,14:20:00
20,Motor Vehicle,1,03/22/2013,Mar,Fri,22,22:45:00
21,Pedestrian,1,03/23/2013,Mar,Sat,7,07:45:00
22,Motor Vehicle,1,04/02/2013,Apr,Tue,11,11:38:00
23,Pedestrian,1,04/09/2013,Apr,Tue,6,06:04:00
24,Pedestrian,1,04/18/2013,Apr,Thu,20,20:35:00
25,Pedestrian,1,04/20/2013,Apr,Sat,0,00:50:00
26,Motorcycle,1,04/20/2013,Apr,Sat,1,01:31:00
27,Motor Vehicle,1,04/21/2013,Apr,Sun,20,20:24:00
28,Pedestrian,1,05/07/2013,May,Tue,22,22:08:00
29,Pedestrian,1,05/11/2013,May,sat,1,01:11:00
30,Motor Vehicle,1,05/24/2013,May,Fri,16,16:42:00
31,Motorcycle,1,06/13/2013,Jun,Thu,1,01:20:00
32,Motor Vehicle,1,06/13/2013,Jun,Thu,5,05:33:00
33,Motor Vehicle,1,06/13/2013,Jun,Thu,23,23:37:00
34,Motorcycle,1,06/18/2013,Jun,Tue,6,06:02:00
35,Pedestrian,1,06/20/2013,Jun,Thu,21,21:24:00
